@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Anisotropic_diffusion_20_1_0.1_0.9_1.0 numeric
@attribute Anisotropic_diffusion_20_1_0.35_0.9_1.0 numeric
@attribute Anisotropic_diffusion_20_2_0.1_0.9_1.0 numeric
@attribute Anisotropic_diffusion_20_2_0.35_0.9_1.0 numeric
@attribute Anisotropic_diffusion_20_4_0.1_0.9_1.0 numeric
@attribute Anisotropic_diffusion_20_4_0.35_0.9_1.0 numeric
@attribute Anisotropic_diffusion_20_8_0.1_0.9_1.0 numeric
@attribute Anisotropic_diffusion_20_8_0.35_0.9_1.0 numeric
@attribute Anisotropic_diffusion_20_16_0.1_0.9_1.0 numeric
@attribute Anisotropic_diffusion_20_16_0.35_0.9_1.0 numeric
@attribute Bilateral_5.0_50.0 numeric
@attribute Bilateral_5.0_100.0 numeric
@attribute Bilateral_10.0_50.0 numeric
@attribute Bilateral_10.0_100.0 numeric
@attribute Lipschitz_true_true_5.0 numeric
@attribute Lipschitz_true_true_10.0 numeric
@attribute Lipschitz_true_true_15.0 numeric
@attribute Lipschitz_true_true_20.0 numeric
@attribute Lipschitz_true_true_25.0 numeric
@attribute 'Kuwahara_19_ 10_0' numeric
@attribute 'Kuwahara_19_ 10_1' numeric
@attribute 'Kuwahara_19_ 10_2' numeric
@attribute Gabor_1_1.0_1.0_0_2.0 numeric
@attribute Gabor_2_1.0_1.0_0_2.0 numeric
@attribute Gabor_1_1.0_0.5_0_2.0 numeric
@attribute Gabor_2_1.0_0.5_0_2.0 numeric
@attribute Gabor_1_1.0_0.25_0_2.0 numeric
@attribute Gabor_2_1.0_0.25_0_2.0 numeric
@attribute Gabor_1_1.0_1.0_2_2.0 numeric
@attribute Gabor_2_1.0_1.0_2_2.0 numeric
@attribute Gabor_1_1.0_0.5_2_2.0 numeric
@attribute Gabor_2_1.0_0.5_2_2.0 numeric
@attribute Gabor_1_1.0_0.25_2_2.0 numeric
@attribute Gabor_2_1.0_0.25_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_2.0 numeric
@attribute Gabor_2_2.0_1.0_0_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_3.0 numeric
@attribute Gabor_2_2.0_1.0_0_3.0 numeric
@attribute Gabor_1_2.0_2.0_0_2.0 numeric
@attribute Gabor_2_2.0_2.0_0_2.0 numeric
@attribute Gabor_1_2.0_2.0_0_3.0 numeric
@attribute Gabor_2_2.0_2.0_0_3.0 numeric
@attribute Gabor_1_4.0_1.0_0_2.0 numeric
@attribute Gabor_2_4.0_1.0_0_2.0 numeric
@attribute Gabor_1_4.0_1.0_0_3.0 numeric
@attribute Gabor_2_4.0_1.0_0_3.0 numeric
@attribute Gabor_1_4.0_2.0_0_2.0 numeric
@attribute Gabor_2_4.0_2.0_0_2.0 numeric
@attribute Gabor_1_4.0_2.0_0_3.0 numeric
@attribute Gabor_2_4.0_2.0_0_3.0 numeric
@attribute Gabor_1_2.0_1.0_2_2.0 numeric
@attribute Gabor_2_2.0_1.0_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_2_3.0 numeric
@attribute Gabor_2_2.0_1.0_2_3.0 numeric
@attribute Gabor_1_2.0_2.0_2_2.0 numeric
@attribute Gabor_2_2.0_2.0_2_2.0 numeric
@attribute Gabor_1_2.0_2.0_2_3.0 numeric
@attribute Gabor_2_2.0_2.0_2_3.0 numeric
@attribute Gabor_1_4.0_1.0_2_2.0 numeric
@attribute Gabor_2_4.0_1.0_2_2.0 numeric
@attribute Gabor_1_4.0_1.0_2_3.0 numeric
@attribute Gabor_2_4.0_1.0_2_3.0 numeric
@attribute Gabor_1_4.0_2.0_2_2.0 numeric
@attribute Gabor_2_4.0_2.0_2_2.0 numeric
@attribute Gabor_1_4.0_2.0_2_3.0 numeric
@attribute Gabor_2_4.0_2.0_2_3.0 numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Median_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Variance_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Median_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Variance_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Median_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Variance_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Minimum_8.0 numeric
@attribute Maximum_8.0 numeric
@attribute Median_8.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Variance_16.0 numeric
@attribute Mean_16.0 numeric
@attribute Minimum_16.0 numeric
@attribute Maximum_16.0 numeric
@attribute Median_16.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2',background}

@data
136,0,0,136,139,137,135,138,98,138,49,138,8,140,248,248,248,247,255,255,255,255,255,137,137,137,15,13,16,14,14,13,3,0,9,0,12,0,19,12,18,0,18,12,12,0,19,13,22,8,21,14,22,8,7,0,13,0,1,0,12,0,13,0,0,0,10,0,0,0,6,255,0,0,255,0,0,255,255,136,8,255,0,0,255,0,0,255,255,0,137,136,138,137,136,54,255,0,0,243,0,0,255,255,0,255,130,0,138,137,124,113,255,0,255,0,0,0,255,255,12,12,255,108,0,139,136,89,92,255,0,255,0,0,0,255,255,47,47,35,255,63,0,140,0,48,35,61,0,255,0,0,0,255,255,88,87,76,40,255,30,0,140,0,76,97,57,255,15,76,'class 1'
136,0,0,136,137,136,139,137,118,137,74,137,21,138,248,248,248,248,255,255,255,255,255,137,137,137,15,12,16,15,15,14,0,0,2,0,6,0,16,12,13,0,15,12,6,0,19,15,16,6,20,16,16,4,2,0,9,0,2,0,8,0,7,0,7,0,4,0,9,0,3,27,36,255,29,7,0,255,255,136,3,34,0,0,40,0,0,255,255,0,136,136,137,136,136,6,255,0,0,63,0,0,255,255,0,0,137,136,138,137,131,62,255,0,255,0,0,0,255,255,5,5,255,120,0,140,137,99,76,255,0,255,0,0,0,255,255,37,38,33,255,69,0,140,120,53,33,67,0,255,0,0,0,255,255,83,84,79,46,255,32,0,140,0,83,104,64,255,16,81,'class 1'
136,0,0,136,136,136,139,136,130,137,94,137,38,137,249,249,248,248,255,255,255,255,255,137,137,137,14,12,16,15,15,14,0,0,0,0,1,0,16,12,10,0,13,11,5,0,19,16,13,5,18,16,8,0,2,0,5,0,2,0,0,0,3,0,8,0,0,0,10,0,0,32,32,0,45,0,0,255,255,136,0,30,30,0,42,0,0,255,255,0,136,136,137,136,136,1,49,0,0,28,0,0,255,255,0,1,137,136,139,137,135,32,255,0,255,0,0,0,255,255,2,2,255,130,0,140,137,106,58,255,0,255,0,0,0,255,255,30,30,28,255,76,0,140,132,57,30,73,0,255,0,0,0,255,255,79,80,78,49,255,34,0,140,0,88,109,68,255,17,83,'class 1'
136,0,0,136,136,136,138,136,136,137,109,137,55,137,249,249,248,248,255,255,255,255,255,137,137,137,14,12,16,15,16,15,1,0,1,0,2,0,15,11,7,0,13,10,5,0,18,16,9,1,17,16,4,0,1,0,2,0,2,0,1,0,0,0,4,0,0,0,7,0,4,22,30,212,20,10,0,255,52,136,4,19,27,173,18,9,0,255,39,0,137,136,138,137,137,3,14,0,0,13,0,0,255,255,0,1,137,136,139,137,136,16,240,0,255,24,0,0,255,255,0,1,255,135,0,140,137,112,39,255,0,255,0,0,0,255,255,24,25,24,255,82,0,140,135,60,27,78,0,255,0,0,0,255,255,76,76,76,51,255,36,0,140,0,91,117,68,255,19,87,'class 1'
137,0,0,137,137,137,139,137,135,137,108,137,56,138,249,249,249,248,255,255,255,255,255,137,137,137,15,12,16,15,16,14,1,0,2,0,3,0,15,13,10,0,14,12,5,0,16,15,13,1,16,14,9,0,2,0,6,0,2,0,6,0,0,0,2,0,0,0,7,0,6,35,6,0,39,0,0,255,255,137,6,26,0,8,5,0,0,255,255,1,137,136,139,137,137,5,229,0,0,60,0,0,255,255,0,1,137,136,140,137,133,52,255,0,255,74,0,0,255,255,4,4,255,125,0,140,137,107,68,255,0,255,0,0,0,255,255,30,30,26,255,83,0,140,135,60,29,76,0,255,0,0,0,255,255,77,77,73,47,255,36,0,140,0,92,118,68,255,19,89,'class 1'
137,0,0,137,137,137,138,137,138,137,119,137,72,137,250,250,249,248,255,255,255,255,255,137,137,137,15,12,16,15,16,15,0,0,1,0,1,0,15,12,8,0,14,11,6,0,17,14,10,0,16,13,6,0,2,0,3,0,2,0,2,0,0,0,4,0,0,0,5,0,0,41,12,0,55,0,0,255,255,137,0,32,0,0,37,0,0,255,255,1,137,136,139,137,137,1,99,0,255,7,0,0,255,255,0,1,137,136,140,137,135,33,255,0,0,78,0,0,255,255,2,2,255,130,0,140,137,112,51,255,0,255,0,0,0,255,255,25,25,23,255,89,0,140,136,64,25,80,0,255,0,0,0,255,255,73,74,71,49,255,38,0,140,0,96,125,68,255,22,95,'class 1'
137,0,0,137,137,137,137,137,138,137,126,137,86,137,250,250,249,248,255,255,255,255,255,137,137,137,15,13,16,15,16,15,0,0,0,0,0,0,15,11,7,0,14,10,5,0,17,13,7,0,16,13,4,0,2,0,2,0,2,0,0,0,0,0,4,0,0,0,4,0,3,21,24,44,26,0,0,255,255,137,3,19,21,24,24,0,0,255,255,0,137,137,138,137,137,0,26,0,64,3,0,0,255,255,0,1,137,136,139,137,136,18,239,0,0,59,0,0,255,255,1,1,255,135,0,140,137,116,34,255,0,255,20,0,0,255,255,21,21,20,255,92,0,140,136,66,21,84,0,255,0,0,0,255,255,71,71,70,49,255,40,0,140,0,99,132,68,255,24,97,'class 1'
137,0,0,137,137,137,138,137,139,137,125,137,85,137,250,250,249,249,255,255,255,255,255,137,137,137,15,12,16,15,16,14,0,0,2,0,1,0,15,13,8,0,14,12,5,0,16,12,11,0,16,13,9,1,2,0,6,0,2,0,6,0,0,0,3,0,0,0,4,0,3,45,62,255,47,15,1,255,255,137,3,21,11,0,28,0,0,255,255,0,137,137,139,137,137,3,255,0,0,76,0,0,255,255,0,1,138,137,140,138,133,55,255,0,0,113,0,0,255,255,4,4,255,125,0,140,137,110,68,255,0,255,24,0,0,255,255,27,27,23,255,91,0,140,136,66,25,80,0,255,0,0,0,255,255,71,71,67,45,255,41,0,140,0,98,133,68,255,24,95,'class 1'
137,0,0,137,137,137,137,137,138,137,131,137,97,137,250,250,249,249,255,255,255,255,255,137,137,137,15,12,16,15,16,14,0,0,3,0,4,0,15,12,9,0,14,11,5,0,17,12,8,0,16,13,6,2,2,0,3,0,2,0,2,0,0,0,4,0,0,0,5,0,3,33,44,255,35,9,0,255,255,137,3,22,29,161,24,5,0,255,180,0,137,137,138,137,137,2,92,0,0,32,0,0,255,255,0,0,138,137,139,138,135,31,255,0,255,69,0,0,255,255,2,2,255,133,0,140,137,114,52,255,0,255,39,0,0,255,255,23,23,21,255,94,0,140,136,69,21,84,0,255,0,0,0,255,255,68,69,67,46,255,42,0,140,0,101,137,68,255,26,99,'class 1'
137,0,0,137,137,137,137,137,138,137,135,137,106,137,250,250,249,249,255,255,255,255,255,137,137,137,15,13,16,15,17,15,0,0,1,0,3,0,15,11,9,0,14,10,5,0,17,12,8,3,16,13,5,1,2,0,2,0,2,0,0,0,0,0,5,0,0,0,6,0,3,23,4,0,25,0,0,255,255,137,3,21,2,0,22,0,0,255,255,0,138,137,138,138,138,2,29,0,144,1,0,0,255,255,0,0,138,137,139,138,137,15,223,0,255,36,0,0,255,255,1,1,1,137,135,140,137,117,35,255,0,255,50,0,0,255,255,20,21,20,255,96,0,140,136,71,16,86,0,255,0,0,0,255,255,66,67,66,46,255,44,0,140,0,102,137,68,255,28,101,'class 1'
138,0,0,138,137,137,138,137,139,137,134,137,105,137,250,250,249,249,255,255,255,255,255,138,138,138,15,13,16,15,16,15,0,0,1,0,3,0,15,13,12,0,14,12,6,0,16,12,11,5,16,13,9,5,2,0,5,0,2,0,3,0,1,0,4,0,1,0,6,0,4,23,0,0,11,0,1,255,255,138,4,33,0,255,0,0,1,255,60,0,138,137,139,138,138,1,179,0,255,8,0,0,255,255,0,0,138,137,139,138,134,48,255,0,255,51,0,0,255,255,4,4,255,125,0,140,137,111,69,255,0,255,44,0,0,255,255,27,27,23,255,93,0,140,136,70,23,81,0,255,0,0,0,255,255,68,68,64,41,255,44,0,140,0,101,137,69,255,28,95,'class 1'
138,0,0,138,137,137,137,137,139,137,137,137,113,137,250,250,249,249,255,255,255,255,255,138,138,138,15,13,16,15,16,15,0,0,0,0,0,0,15,12,10,0,14,11,5,0,17,12,8,5,16,13,6,5,2,0,3,0,2,0,0,0,1,0,4,0,1,0,7,0,1,26,0,255,0,0,1,255,160,138,2,25,0,255,0,0,1,255,116,0,138,137,138,138,138,2,63,0,255,0,0,0,255,255,0,1,138,136,139,138,136,28,255,0,255,43,0,0,255,255,2,2,255,132,0,139,137,115,54,255,0,255,53,0,0,255,255,23,23,21,255,94,0,140,136,72,19,84,0,255,0,0,0,255,255,66,66,64,43,255,46,0,140,0,104,137,72,255,28,101,'class 1'
