@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Entropy_1_32 numeric
@attribute Entropy_1_64 numeric
@attribute Entropy_1_128 numeric
@attribute Entropy_1_256 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Entropy_2_32 numeric
@attribute Entropy_2_64 numeric
@attribute Entropy_2_128 numeric
@attribute Entropy_2_256 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Entropy_4_32 numeric
@attribute Entropy_4_64 numeric
@attribute Entropy_4_128 numeric
@attribute Entropy_4_256 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Variance_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Median_8.0 numeric
@attribute Entropy_8_32 numeric
@attribute Entropy_8_64 numeric
@attribute Entropy_8_128 numeric
@attribute Entropy_8_256 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Variance_16.0 numeric
@attribute Mean_16.0 numeric
@attribute Median_16.0 numeric
@attribute Entropy_16_32 numeric
@attribute Entropy_16_64 numeric
@attribute Entropy_16_128 numeric
@attribute Entropy_16_256 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
136,0,0,136,27,36,255,29,7,0,255,255,136,34,0,0,40,0,0,255,255,0,136,136,0,0,0,1,136,255,0,0,63,0,0,255,255,0,137,137,0,0,0,1,131,255,0,255,0,0,0,255,255,255,120,137,0,0,0,3,99,255,0,255,0,0,0,255,255,255,69,120,0,0,0,2,53,67,0,255,0,0,0,255,255,255,32,0,0,0,0,1,83,104,64,255,16,81,'class 1'
136,0,0,136,32,32,0,45,0,0,255,255,136,30,30,0,42,0,0,255,255,0,136,136,0,0,0,1,136,49,0,0,28,0,0,255,255,1,137,137,0,0,0,1,135,255,0,255,0,0,0,255,255,255,130,137,0,0,0,2,106,255,0,255,0,0,0,255,255,255,76,132,0,0,0,3,57,73,0,255,0,0,0,255,255,255,34,0,0,0,0,1,88,109,68,255,17,83,'class 1'
137,0,0,137,32,28,0,45,0,0,255,255,137,56,0,0,42,0,0,255,255,1,137,136,0,0,0,1,137,255,0,0,91,0,0,255,255,1,137,137,0,0,0,2,130,255,0,255,15,0,0,255,255,255,115,137,0,0,0,2,101,255,0,255,0,0,0,255,255,255,77,133,0,0,0,3,56,70,0,255,0,0,0,255,255,255,34,0,0,0,0,1,88,111,68,255,17,83,'class 1'
139,0,0,139,255,0,0,236,0,0,255,255,139,255,0,0,235,0,0,255,255,1,138,137,0,0,0,2,137,255,0,0,255,0,0,255,255,255,131,137,0,0,0,2,124,255,0,0,139,0,0,255,255,255,111,137,0,0,0,2,99,226,0,255,0,0,0,255,255,255,84,136,0,0,0,3,59,70,0,255,0,0,0,255,255,255,37,0,0,0,0,2,90,122,68,255,19,87,'class 1'
140,0,0,140,255,0,255,255,0,0,255,255,140,255,0,255,255,0,0,255,255,255,123,139,0,0,0,2,128,255,0,0,255,0,0,255,255,255,105,137,0,0,0,2,106,255,0,0,177,0,0,255,255,255,94,137,0,0,0,2,87,149,0,255,0,0,0,255,255,255,79,136,0,0,0,2,57,61,0,255,0,0,0,255,255,255,37,0,0,0,0,2,87,122,65,255,18,82,'class 1'
139,0,0,139,255,0,255,255,0,0,255,255,139,255,0,255,255,0,0,255,255,1,138,139,0,0,0,2,135,255,0,0,255,0,0,255,255,255,118,137,0,0,0,2,116,255,0,0,199,0,0,255,255,255,104,137,0,0,0,2,95,182,0,255,2,0,0,255,255,255,84,136,0,0,0,2,61,67,0,255,0,0,0,255,255,255,39,0,0,0,0,2,92,133,65,255,22,88,'class 1'
137,0,0,137,255,0,0,255,0,0,255,255,137,255,0,0,255,0,0,255,255,1,138,138,0,0,0,2,137,255,0,0,255,0,0,255,255,255,131,138,0,0,0,2,125,255,0,0,155,0,0,255,255,255,111,137,0,0,0,2,101,212,0,255,20,0,0,255,255,255,88,136,0,0,0,2,64,72,0,255,0,0,0,255,255,255,41,0,0,0,0,2,97,136,68,255,24,91,'class 1'
138,0,0,138,255,0,0,255,0,0,255,255,138,255,0,0,255,0,0,255,255,255,123,138,0,0,0,2,128,255,0,0,255,0,0,255,255,255,112,138,0,0,0,2,108,255,0,0,126,0,0,255,255,255,94,137,0,0,0,2,89,139,0,255,9,0,0,255,255,255,81,136,0,0,0,2,61,62,0,255,0,0,0,255,255,255,41,0,0,0,0,2,91,130,65,255,21,87,'class 1'
139,0,0,139,255,0,255,255,0,0,255,255,139,255,0,255,237,0,0,255,255,0,138,138,0,0,0,1,137,255,0,255,146,0,0,255,255,255,125,138,0,0,0,2,119,255,0,255,67,0,0,255,255,255,102,137,0,0,0,2,96,175,0,255,22,0,0,255,255,255,85,136,0,0,0,2,64,67,0,255,0,0,0,255,255,255,43,0,0,0,0,2,95,137,65,255,24,88,'class 1'
138,0,0,138,255,0,255,20,0,0,255,255,138,255,0,255,4,0,0,255,255,0,138,138,0,0,0,1,138,255,0,255,4,0,0,255,255,0,138,138,0,0,0,1,127,255,0,255,51,0,0,255,255,255,111,137,0,0,0,2,102,207,0,255,33,0,0,255,255,255,88,136,0,0,0,2,67,72,0,255,0,0,0,255,255,255,45,0,0,0,0,2,98,137,72,255,24,93,'class 1'
138,0,0,138,14,0,0,12,0,1,255,255,138,76,0,0,19,0,0,255,255,0,138,138,0,0,0,1,138,255,0,255,89,0,0,255,255,0,138,138,0,0,0,1,131,255,0,255,78,0,0,255,255,255,118,137,0,0,0,2,107,232,0,255,43,0,0,255,255,255,91,136,0,0,0,3,70,77,0,255,0,0,0,255,255,255,47,0,0,0,0,2,101,137,72,255,25,97,'class 1'
137,0,0,137,21,0,0,21,0,0,255,255,137,48,0,0,29,0,0,255,255,0,137,137,0,0,0,1,137,249,0,0,82,0,0,255,255,0,137,137,0,0,0,1,133,255,0,0,96,0,0,255,255,255,125,137,0,0,0,2,111,252,0,255,52,0,0,255,255,255,92,136,0,0,0,3,72,81,0,255,0,0,0,255,255,255,48,0,0,0,0,2,102,137,68,255,27,99,'class 1'
138,0,0,138,32,0,4,7,0,0,255,255,138,39,0,0,9,0,0,255,255,0,137,137,0,0,0,1,137,123,0,0,36,0,0,255,255,1,137,137,0,0,0,2,135,255,0,0,84,0,0,255,255,255,130,137,0,0,0,2,114,255,0,0,60,0,0,255,255,255,95,136,0,0,0,3,74,84,0,255,2,0,0,255,255,255,49,0,0,0,0,2,104,137,72,255,28,100,'class 1'
137,0,0,137,24,0,68,2,0,0,255,255,137,22,0,50,2,0,0,255,255,0,137,137,0,0,0,1,137,44,0,21,10,0,0,255,255,1,137,137,0,0,0,2,136,239,0,0,59,0,0,255,255,255,134,137,0,0,0,2,117,255,0,0,65,0,0,255,255,255,97,136,0,0,0,3,75,87,0,255,3,0,0,255,255,255,50,0,0,0,0,2,105,137,72,255,28,102,'class 1'
136,0,0,136,15,12,0,20,0,1,255,255,136,14,10,0,18,0,1,255,255,0,137,137,0,0,0,1,136,9,0,8,1,0,1,255,74,1,137,137,0,0,0,2,136,171,0,77,38,0,0,255,255,1,136,137,0,0,0,2,119,255,0,0,68,0,0,255,255,255,99,136,0,0,0,3,76,89,0,255,3,0,0,255,255,255,50,0,0,0,0,2,106,137,72,255,28,105,'class 1'
137,0,0,137,12,0,0,2,0,2,255,144,137,18,0,82,0,0,0,255,200,0,137,137,0,0,0,1,137,117,0,255,17,0,0,255,255,1,137,137,0,0,0,2,134,255,0,0,75,0,0,255,255,255,129,136,0,0,0,2,114,255,0,0,63,0,0,255,255,255,97,136,0,0,0,3,75,84,0,255,3,0,0,255,255,255,51,0,0,0,0,2,105,137,72,255,27,102,'class 1'
137,0,0,137,19,0,144,0,0,1,255,100,137,17,0,109,0,0,1,255,95,0,136,136,0,0,0,1,136,39,0,253,1,0,0,255,255,1,136,136,0,0,0,2,135,237,0,0,56,0,0,255,255,255,134,136,0,0,0,2,117,255,0,0,63,0,0,255,255,255,100,136,0,0,0,3,76,86,0,255,2,0,0,255,255,255,50,0,0,0,0,2,106,137,72,255,27,104,'class 1'
135,0,0,135,14,10,0,18,0,0,255,255,135,14,9,0,18,0,0,255,255,1,136,136,0,0,0,2,136,16,0,0,17,0,0,255,255,1,136,136,0,0,0,2,135,160,0,0,45,0,0,255,255,1,136,136,0,0,0,2,120,255,0,216,58,0,0,255,255,255,102,136,0,0,0,3,76,88,0,255,1,0,0,255,255,255,50,0,0,0,0,2,107,137,72,255,27,104,'class 1'
136,0,0,136,45,0,0,47,0,0,0,255,136,44,0,0,43,0,0,255,255,1,136,135,0,0,0,1,136,118,0,0,55,0,0,255,255,1,136,136,0,0,0,2,134,255,0,0,86,0,0,255,255,255,129,136,0,0,0,2,114,242,0,0,55,0,0,255,255,255,98,136,0,0,0,3,74,83,0,255,0,0,0,255,255,255,50,0,0,0,0,2,106,137,72,255,26,102,'class 1'
136,0,0,136,35,8,0,42,0,0,255,255,136,33,8,0,40,0,0,255,255,0,136,136,0,0,0,1,136,43,0,0,34,0,0,255,255,1,136,136,0,0,0,2,135,229,0,0,64,0,0,255,255,255,134,136,0,0,0,2,118,249,0,255,49,0,0,255,255,255,101,136,0,0,0,3,75,86,0,255,0,0,0,255,255,255,49,0,0,0,0,2,107,137,75,255,27,100,'class 1'
136,0,0,136,17,0,80,0,0,0,255,164,136,15,0,62,0,0,0,255,139,0,136,136,0,0,0,1,136,13,0,0,4,0,0,255,255,0,136,136,0,0,0,1,135,151,0,0,40,0,0,255,255,1,136,136,0,0,0,2,120,253,0,255,38,0,0,255,255,255,102,136,0,0,0,3,75,88,0,255,0,0,0,255,255,255,48,0,0,0,0,2,107,137,79,255,25,100,'class 1'
136,0,0,136,13,0,44,0,0,0,255,80,136,12,0,32,0,0,0,255,77,0,136,136,0,0,0,1,136,6,0,2,1,0,1,255,35,0,136,136,0,0,0,1,136,97,0,150,20,0,0,255,255,1,136,136,0,0,0,2,122,255,0,255,24,0,0,255,255,255,102,136,0,0,0,3,75,88,0,255,0,0,0,255,255,255,47,0,0,0,0,2,107,136,83,255,23,100,'class 1'
137,0,0,137,22,0,0,11,0,1,255,255,137,20,0,0,10,0,1,255,255,0,136,136,0,0,0,1,136,34,0,255,0,0,0,255,255,1,136,136,0,0,0,2,135,228,0,238,51,0,0,255,255,255,134,136,0,0,0,2,118,247,0,255,33,0,0,255,255,255,101,136,0,0,0,3,73,85,0,255,0,0,0,255,255,255,47,0,0,0,0,2,106,137,82,255,24,99,'class 1'
